loan_id,user_id,loan_amount,interest_rate,loan_status
L1,U0,7121,0.15,paid
L2,U1,5338,0.12,paid
L3,U2,7883,0.12,paid
L4,U3,2832,0.15,default
L5,U3,7864,0.15,default
L6,U3,5626,0.1,paid
L7,U4,3747,0.15,paid
L8,U4,1116,0.12,paid
L9,U4,8494,0.15,paid
L10,U5,8553,0.1,paid
L11,U5,8093,0.12,paid
L12,U5,5799,0.15,paid
L13,U6,7923,0.1,paid
L14,U7,3911,0.12,paid
L15,U7,5771,0.12,paid
L16,U7,8690,0.1,paid
L17,U8,3473,0.15,paid
L18,U8,2944,0.12,paid
L19,U8,1036,0.12,paid
L20,U9,2162,0.12,paid
L21,U10,7076,0.12,paid
L22,U10,6047,0.1,paid
L23,U11,4586,0.1,paid
L24,U11,7795,0.12,paid
L25,U11,7578,0.1,paid
L26,U12,1805,0.1,paid
L27,U13,9993,0.12,paid
L28,U14,6732,0.12,paid
L29,U14,4469,0.15,default
L30,U14,2570,0.1,default
L31,U15,5602,0.12,paid
L32,U15,5707,0.1,paid
L33,U15,3712,0.12,paid
L34,U16,4945,0.15,paid
L35,U16,3531,0.1,default
L36,U16,3475,0.1,paid
L37,U17,2295,0.15,paid
L38,U17,7666,0.15,paid
L39,U18,8902,0.1,paid
L40,U18,2957,0.15,paid
L41,U19,1130,0.12,paid
L42,U19,4487,0.15,paid
L43,U20,1810,0.15,paid
L44,U20,9673,0.12,default
L45,U20,8784,0.1,default
L46,U21,1050,0.12,paid
L47,U21,5126,0.12,paid
L48,U21,3586,0.1,paid
L49,U22,8160,0.12,paid
L50,U23,2843,0.15,paid
L51,U23,6392,0.1,paid
L52,U24,5338,0.15,paid
L53,U24,5716,0.12,paid
L54,U24,2945,0.12,default
L55,U25,3360,0.1,paid
L56,U25,9139,0.15,paid
L57,U25,6773,0.1,paid
L58,U26,9632,0.12,paid
L59,U27,5251,0.15,paid
L60,U28,3354,0.15,default
L61,U28,6392,0.1,paid
L62,U28,4975,0.12,paid
L63,U29,5333,0.1,paid
L64,U29,3859,0.1,paid
L65,U29,1617,0.1,paid
L66,U30,5527,0.15,default
L67,U30,8836,0.1,paid
L68,U30,1940,0.12,default
L69,U31,4087,0.1,paid
L70,U32,7863,0.1,default
L71,U33,8923,0.12,default
L72,U34,7801,0.1,paid
L73,U35,1437,0.15,paid
L74,U35,4662,0.12,paid
L75,U36,9713,0.1,paid
L76,U36,1662,0.12,paid
L77,U37,7681,0.1,paid
L78,U37,1976,0.12,paid
L79,U37,1195,0.12,paid
L80,U38,9863,0.12,paid
L81,U38,7929,0.12,paid
L82,U38,9663,0.1,default
L83,U39,5644,0.12,paid
L84,U40,4808,0.1,paid
L85,U41,2665,0.15,paid
L86,U41,5072,0.15,paid
L87,U41,2434,0.12,paid
L88,U42,1931,0.15,paid
L89,U42,3196,0.12,paid
L90,U43,1008,0.1,paid
L91,U44,1984,0.12,default
L92,U44,5591,0.15,paid
L93,U45,3842,0.12,paid
L94,U46,3994,0.15,default
L95,U47,6690,0.1,paid
L96,U48,9323,0.1,default
L97,U49,2982,0.1,paid
L98,U49,5216,0.1,default
L99,U49,5644,0.15,paid
L100,U50,7951,0.12,paid
L101,U51,5353,0.15,paid
L102,U52,5337,0.1,paid
L103,U52,4093,0.12,paid
L104,U53,3665,0.1,paid
L105,U53,6220,0.12,paid
L106,U54,3147,0.15,paid
L107,U55,1114,0.12,paid
L108,U56,2605,0.12,paid
L109,U56,4482,0.15,paid
L110,U57,5555,0.15,paid
L111,U57,8964,0.15,paid
L112,U58,6941,0.1,paid
L113,U59,8726,0.15,paid
L114,U59,4146,0.1,paid
L115,U60,9967,0.15,paid
L116,U60,4720,0.1,paid
L117,U60,7407,0.12,paid
L118,U61,5063,0.12,paid
L119,U62,7831,0.15,paid
L120,U63,2488,0.1,paid
L121,U64,6081,0.12,paid
L122,U65,9391,0.1,paid
L123,U65,5094,0.1,default
L124,U65,7363,0.1,default
L125,U66,2238,0.1,default
L126,U67,8925,0.15,paid
L127,U67,4613,0.12,paid
L128,U68,7856,0.15,paid
L129,U68,7972,0.15,paid
L130,U68,2770,0.15,paid
L131,U69,6515,0.12,default
L132,U69,1478,0.1,paid
L133,U70,7114,0.15,paid
L134,U70,3448,0.15,paid
L135,U70,8697,0.1,paid
L136,U71,7797,0.15,default
L137,U72,8770,0.1,paid
L138,U72,7978,0.12,paid
L139,U72,3312,0.15,paid
L140,U73,4674,0.15,paid
L141,U73,8523,0.15,paid
L142,U73,6268,0.1,paid
L143,U74,3114,0.12,paid
L144,U74,7715,0.1,paid
L145,U74,3507,0.12,paid
L146,U75,6285,0.15,paid
L147,U75,2491,0.12,paid
L148,U76,8633,0.15,default
L149,U77,8218,0.15,paid
L150,U77,1393,0.1,paid
L151,U78,1454,0.1,paid
L152,U78,1579,0.1,paid
L153,U78,5085,0.15,paid
L154,U79,2807,0.12,paid
L155,U79,7748,0.15,default
L156,U79,5755,0.1,paid
L157,U80,4643,0.15,paid
L158,U80,5988,0.1,paid
L159,U80,1752,0.15,paid
L160,U81,9570,0.12,paid
L161,U81,6261,0.12,paid
L162,U81,7649,0.12,paid
L163,U82,4563,0.12,paid
L164,U82,3377,0.15,default
L165,U83,6937,0.15,paid
L166,U83,9802,0.12,default
L167,U83,5636,0.15,paid
L168,U84,6169,0.12,paid
L169,U84,1503,0.1,paid
L170,U85,2000,0.12,default
L171,U85,1927,0.1,paid
L172,U85,7414,0.1,paid
L173,U86,2777,0.15,paid
L174,U86,8284,0.1,paid
L175,U87,1621,0.12,paid
L176,U87,8539,0.15,paid
L177,U87,2921,0.15,default
L178,U88,4141,0.1,paid
L179,U88,7763,0.15,paid
L180,U89,9931,0.15,paid
L181,U90,3488,0.12,paid
L182,U91,3526,0.15,default
L183,U92,3373,0.15,paid
L184,U93,7415,0.12,paid
L185,U94,8163,0.1,paid
