user_id,age,income,city,employment,credit_score
U0,28,6411,Bandung,business,771
U1,31,10267,Medan,freelancer,572
U2,51,9487,Medan,business,588
U3,40,13684,Jakarta,freelancer,625
U4,57,6443,Bandung,freelancer,743
U5,41,9889,Bandung,employee,714
U6,48,8996,Surabaya,business,703
U7,31,2702,Bandung,freelancer,643
U8,43,3219,Medan,employee,507
U9,48,11095,Jakarta,employee,738
U10,32,4994,Medan,business,515
U11,40,14841,Medan,freelancer,758
U12,45,9412,Surabaya,employee,665
U13,26,5167,Surabaya,business,615
U14,36,6971,Surabaya,freelancer,501
U15,60,3938,Medan,freelancer,684
U16,42,3447,Bandung,employee,634
U17,39,4360,Surabaya,business,624
U18,51,5581,Bandung,employee,631
U19,24,3363,Bandung,business,740
U20,44,3861,Surabaya,employee,508
U21,56,7286,Jakarta,freelancer,536
U22,44,7186,Bandung,freelancer,678
U23,50,14490,Medan,business,631
U24,42,2894,Bandung,business,584
U25,53,12455,Surabaya,business,616
U26,28,8208,Jakarta,business,699
U27,52,13561,Medan,employee,781
U28,47,12188,Surabaya,business,511
U29,33,3305,Bandung,business,530
U30,48,4837,Surabaya,employee,515
U31,31,10031,Bandung,business,732
U32,56,14639,Surabaya,business,595
U33,52,3279,Bandung,employee,546
U34,52,3642,Jakarta,business,724
U35,21,6657,Surabaya,business,685
U36,41,2911,Jakarta,business,748
U37,54,13385,Jakarta,freelancer,607
U38,23,11898,Jakarta,freelancer,729
U39,37,5253,Surabaya,employee,598
U40,45,10765,Surabaya,business,736
U41,43,2950,Jakarta,employee,788
U42,49,7185,Medan,business,705
U43,48,6106,Surabaya,freelancer,784
U44,22,14814,Bandung,freelancer,507
U45,25,3061,Surabaya,freelancer,723
U46,48,8505,Medan,employee,502
U47,55,7564,Surabaya,freelancer,672
U48,31,9558,Bandung,business,639
U49,26,9373,Jakarta,employee,779
U50,25,6372,Medan,freelancer,710
U51,31,4478,Medan,employee,719
U52,34,8969,Medan,employee,725
U53,23,14578,Jakarta,freelancer,677
U54,35,13577,Medan,freelancer,614
U55,53,5415,Medan,employee,622
U56,55,6626,Jakarta,employee,784
U57,48,5426,Jakarta,business,552
U58,38,4134,Surabaya,freelancer,763
U59,30,12585,Surabaya,freelancer,730
U60,47,8509,Jakarta,business,789
U61,31,4819,Medan,freelancer,655
U62,36,11077,Bandung,employee,610
U63,57,9692,Bandung,employee,647
U64,40,7416,Medan,employee,741
U65,31,7893,Jakarta,freelancer,549
U66,27,7756,Bandung,business,555
U67,39,12094,Surabaya,freelancer,689
U68,59,7580,Jakarta,business,657
U69,55,3273,Medan,freelancer,712
U70,26,5297,Medan,employee,687
U71,29,11293,Medan,employee,528
U72,37,9428,Medan,freelancer,743
U73,43,14329,Jakarta,employee,619
U74,34,12068,Medan,employee,746
U75,31,10856,Medan,business,642
U76,29,9055,Bandung,business,558
U77,50,8507,Medan,freelancer,666
U78,56,10872,Surabaya,business,685
U79,50,8007,Surabaya,freelancer,526
U80,44,9995,Surabaya,freelancer,590
U81,26,12562,Bandung,employee,627
U82,21,5372,Bandung,business,548
U83,29,14318,Jakarta,business,688
U84,58,12463,Jakarta,business,735
U85,28,7551,Medan,business,511
U86,24,11023,Jakarta,business,653
U87,32,9520,Jakarta,business,529
U88,46,11160,Surabaya,employee,697
U89,47,11678,Jakarta,freelancer,690
U90,58,14643,Jakarta,business,670
U91,60,7049,Surabaya,business,590
U92,24,12821,Medan,business,763
U93,24,7425,Bandung,freelancer,667
U94,57,12233,Jakarta,business,523
U95,56,6496,Surabaya,employee,589
U96,47,2828,Bandung,freelancer,657
U97,26,10508,Medan,business,577
U98,54,11693,Bandung,business,747
U99,32,4333,Jakarta,business,789
U100,36,11810,Jakarta,freelancer,777
U101,41,13651,Jakarta,freelancer,527
U102,48,14986,Jakarta,employee,526
U103,28,5036,Jakarta,freelancer,584
U104,59,2923,Jakarta,business,500
U105,31,13971,Surabaya,employee,576
U106,44,2799,Medan,freelancer,565
U107,26,12316,Medan,freelancer,728
U108,50,6213,Bandung,business,658
U109,22,12842,Jakarta,business,511
U110,48,11288,Medan,employee,694
U111,43,10688,Surabaya,business,756
U112,24,3148,Jakarta,business,647
U113,37,9389,Surabaya,freelancer,761
U114,26,12746,Medan,freelancer,608
U115,51,12837,Jakarta,employee,603
U116,29,5152,Medan,employee,630
U117,22,14836,Medan,employee,661
U118,53,8066,Jakarta,employee,579
U119,21,10163,Jakarta,freelancer,622
U120,24,10423,Jakarta,freelancer,555
U121,44,9269,Jakarta,employee,600
U122,46,5631,Medan,employee,707
U123,58,11339,Surabaya,freelancer,765
U124,48,3044,Bandung,freelancer,643
U125,53,8592,Surabaya,employee,792
U126,30,3233,Jakarta,employee,611
U127,53,11484,Medan,business,598
U128,41,2276,Surabaya,business,765
U129,43,9219,Medan,business,645
U130,30,9783,Medan,employee,574
U131,58,13704,Medan,freelancer,695
U132,27,8434,Surabaya,employee,558
U133,47,10452,Surabaya,business,566
U134,50,2854,Medan,business,550
U135,54,5063,Surabaya,employee,698
U136,45,8685,Jakarta,freelancer,539
U137,36,7424,Jakarta,employee,649
U138,53,13907,Jakarta,freelancer,728
U139,45,9066,Surabaya,business,793
U140,41,8015,Surabaya,employee,795
U141,32,3141,Medan,employee,666
U142,59,10512,Bandung,employee,682
U143,42,13414,Medan,business,602
U144,60,13509,Medan,freelancer,502
U145,32,10274,Bandung,business,788
U146,37,12914,Medan,employee,637
U147,27,7606,Jakarta,freelancer,515
U148,42,8695,Jakarta,business,538
U149,58,2398,Jakarta,employee,502
U150,32,2377,Medan,employee,728
U151,30,9014,Medan,freelancer,542
U152,54,6849,Jakarta,employee,669
U153,58,4459,Bandung,business,630
U154,24,10410,Surabaya,employee,646
U155,31,6945,Medan,employee,507
U156,44,6942,Jakarta,business,713
U157,28,12296,Surabaya,employee,650
U158,54,7540,Surabaya,business,797
U159,32,14570,Bandung,business,777
U160,43,9268,Jakarta,employee,765
U161,53,9557,Jakarta,business,617
U162,48,4740,Jakarta,freelancer,797
U163,45,5470,Jakarta,employee,756
U164,42,7023,Surabaya,freelancer,597
U165,38,5771,Medan,business,673
U166,33,9698,Medan,business,548
U167,36,4382,Surabaya,business,520
U168,42,10851,Bandung,freelancer,656
U169,27,12296,Medan,business,709
U170,32,14093,Surabaya,employee,775
U171,34,7003,Bandung,business,796
U172,31,8920,Surabaya,freelancer,530
U173,50,12548,Jakarta,employee,644
U174,46,12982,Medan,business,601
U175,44,2917,Surabaya,employee,509
U176,35,7208,Jakarta,business,771
U177,48,3271,Surabaya,freelancer,620
U178,60,3175,Surabaya,business,679
U179,29,5157,Medan,business,570
U180,44,9918,Surabaya,employee,692
U181,31,14067,Medan,freelancer,604
U182,48,12597,Bandung,business,670
U183,42,4757,Bandung,freelancer,566
U184,43,3258,Jakarta,business,750
U185,29,6030,Bandung,freelancer,771
U186,41,14773,Bandung,business,542
U187,39,12988,Surabaya,freelancer,617
U188,45,14343,Jakarta,freelancer,749
U189,23,5075,Surabaya,freelancer,728
U190,24,9509,Medan,freelancer,779
U191,46,2767,Surabaya,business,640
U192,43,6715,Medan,employee,748
U193,31,8999,Bandung,employee,686
U194,41,14011,Jakarta,employee,774
U195,29,7799,Medan,freelancer,762
U196,27,14816,Jakarta,freelancer,586
U197,21,14430,Bandung,employee,542
U198,43,2395,Medan,employee,720
U199,48,2371,Medan,business,707
U200,33,6781,Surabaya,freelancer,725
U201,55,12660,Jakarta,business,547
U202,24,12855,Medan,freelancer,760
U203,52,9039,Jakarta,business,656
U204,36,8865,Medan,freelancer,597
U205,41,8781,Medan,freelancer,707
U206,24,2802,Surabaya,business,515
U207,28,13029,Bandung,freelancer,552
U208,43,13372,Bandung,business,728
U209,39,7319,Jakarta,freelancer,561
U210,25,13397,Surabaya,freelancer,697
U211,60,13727,Medan,employee,617
U212,45,3947,Surabaya,business,665
U213,42,3519,Surabaya,business,651
U214,52,3968,Bandung,employee,619
U215,40,11947,Bandung,freelancer,661
U216,44,6869,Bandung,freelancer,788
U217,46,12219,Bandung,freelancer,577
U218,51,5133,Medan,employee,709
U219,49,5727,Bandung,employee,763
U220,45,9130,Medan,employee,737
U221,43,3174,Bandung,freelancer,686
U222,45,5437,Bandung,freelancer,744
U223,52,4534,Medan,employee,522
U224,35,10624,Jakarta,business,568
U225,48,9341,Medan,freelancer,527
U226,25,13622,Medan,employee,632
U227,44,12339,Surabaya,business,512
U228,30,11074,Bandung,freelancer,675
U229,57,8471,Jakarta,business,763
U230,25,14187,Jakarta,business,787
U231,23,7378,Medan,employee,650
U232,41,4366,Bandung,business,574
U233,40,7988,Surabaya,business,580
U234,25,5744,Bandung,business,607
U235,52,6100,Medan,freelancer,508
U236,47,6183,Surabaya,business,632
U237,37,2842,Jakarta,freelancer,738
U238,41,4215,Medan,freelancer,767
U239,37,14908,Bandung,freelancer,638
U240,44,9919,Jakarta,employee,727
U241,42,6605,Surabaya,freelancer,605
U242,50,11178,Jakarta,business,589
U243,53,8735,Jakarta,employee,502
U244,39,3464,Surabaya,business,507
U245,49,11842,Medan,business,780
U246,32,8946,Surabaya,employee,763
U247,49,13925,Surabaya,business,626
U248,27,5962,Bandung,employee,727
U249,42,3847,Medan,freelancer,747
U250,50,11105,Surabaya,freelancer,702
U251,51,7374,Surabaya,employee,666
U252,55,12781,Jakarta,freelancer,732
U253,44,7710,Jakarta,employee,568
U254,38,6465,Bandung,freelancer,646
U255,39,6365,Medan,business,532
U256,48,5182,Surabaya,employee,592
U257,38,11845,Jakarta,employee,562
U258,51,14629,Bandung,business,599
U259,41,5556,Surabaya,employee,724
U260,25,12154,Bandung,business,698
U261,32,9318,Surabaya,freelancer,656
U262,22,7477,Bandung,business,625
U263,53,3858,Medan,employee,751
U264,43,8924,Medan,freelancer,583
U265,22,11584,Bandung,business,641
U266,56,13660,Surabaya,business,522
U267,56,14462,Bandung,freelancer,513
U268,30,8870,Medan,freelancer,509
U269,28,13451,Surabaya,business,552
U270,46,4635,Bandung,freelancer,790
U271,28,14068,Bandung,employee,566
U272,34,7779,Jakarta,employee,736
U273,42,7544,Medan,freelancer,582
U274,57,2485,Surabaya,business,728
U275,48,6100,Jakarta,business,534
U276,29,3266,Jakarta,freelancer,776
U277,23,5636,Bandung,freelancer,698
U278,26,4012,Bandung,freelancer,791
U279,39,10087,Bandung,business,662
U280,29,5651,Jakarta,freelancer,768
U281,26,9817,Bandung,employee,719
U282,48,6665,Bandung,freelancer,690
U283,56,3280,Bandung,employee,788
U284,52,13545,Medan,freelancer,590
U285,49,8650,Bandung,business,631
U286,23,5249,Medan,employee,527
U287,60,14122,Medan,employee,736
U288,56,11920,Medan,business,789
U289,57,3318,Jakarta,business,599
U290,52,12343,Surabaya,freelancer,521
U291,22,13610,Medan,freelancer,529
U292,39,6745,Bandung,business,673
U293,42,14049,Surabaya,employee,647
U294,28,4861,Jakarta,freelancer,768
U295,37,10602,Bandung,employee,757
U296,40,14490,Jakarta,business,703
U297,52,9257,Bandung,freelancer,771
U298,33,2846,Bandung,employee,740
U299,21,13424,Jakarta,freelancer,571
U300,39,4523,Surabaya,business,711
U301,48,12564,Bandung,employee,650
U302,41,4386,Medan,employee,677
U303,37,4082,Surabaya,freelancer,703
U304,53,5238,Jakarta,freelancer,614
U305,27,8985,Jakarta,employee,622
U306,40,4007,Jakarta,business,607
U307,28,9349,Medan,freelancer,775
U308,35,7000,Medan,business,611
U309,50,10190,Jakarta,employee,560
U310,42,14186,Surabaya,business,656
U311,60,3960,Jakarta,employee,657
U312,56,8340,Bandung,business,605
U313,45,5720,Surabaya,employee,765
U314,30,2510,Surabaya,employee,568
U315,60,9154,Surabaya,freelancer,731
U316,59,7644,Medan,employee,763
U317,21,13259,Jakarta,employee,650
U318,51,8665,Bandung,employee,714
U319,32,5166,Surabaya,employee,628
U320,26,6521,Surabaya,business,782
U321,33,14534,Medan,business,517
U322,34,2364,Jakarta,business,589
U323,55,13045,Bandung,employee,743
U324,24,11054,Medan,freelancer,648
U325,32,6541,Bandung,employee,679
U326,51,13714,Surabaya,business,514
U327,58,9482,Jakarta,business,599
U328,36,11940,Medan,employee,568
U329,46,5413,Surabaya,business,685
U330,34,6467,Medan,business,572
U331,53,12454,Jakarta,freelancer,677
U332,21,10372,Medan,business,625
U333,55,14030,Surabaya,business,723
U334,38,13440,Surabaya,employee,555
U335,54,7491,Surabaya,employee,563
U336,43,14460,Bandung,freelancer,728
U337,49,8764,Surabaya,business,639
U338,26,13105,Jakarta,freelancer,657
U339,24,8466,Surabaya,employee,796
U340,27,8928,Medan,employee,616
U341,26,14198,Surabaya,freelancer,622
U342,53,11484,Bandung,business,646
U343,44,3807,Surabaya,freelancer,741
U344,52,8021,Bandung,employee,793
U345,48,14499,Medan,business,559
U346,42,9600,Surabaya,business,722
U347,31,14399,Jakarta,freelancer,557
U348,31,10140,Surabaya,freelancer,710
U349,32,12685,Jakarta,business,527
U350,50,13319,Medan,employee,759
U351,31,9296,Jakarta,freelancer,733
U352,55,4479,Jakarta,freelancer,654
U353,54,13103,Jakarta,employee,537
U354,32,5271,Jakarta,employee,574
U355,36,5691,Jakarta,business,744
U356,59,7504,Surabaya,business,728
U357,28,12592,Surabaya,business,530
U358,49,10286,Surabaya,business,672
U359,36,10468,Jakarta,freelancer,782
U360,49,9664,Bandung,freelancer,554
U361,54,7779,Surabaya,employee,614
U362,59,8227,Jakarta,business,526
U363,22,10537,Medan,business,743
U364,57,5190,Surabaya,freelancer,653
U365,27,3127,Medan,employee,594
U366,26,3130,Bandung,freelancer,603
U367,32,11855,Medan,business,555
U368,38,12442,Bandung,employee,644
U369,58,10069,Medan,employee,798
U370,36,2043,Surabaya,employee,656
U371,36,11842,Surabaya,business,675
U372,58,10102,Surabaya,freelancer,573
U373,47,6701,Medan,freelancer,608
U374,22,12258,Surabaya,business,671
U375,23,7294,Jakarta,business,686
U376,33,4759,Bandung,employee,639
U377,28,9864,Medan,employee,754
U378,57,13483,Medan,employee,541
U379,44,6838,Surabaya,freelancer,700
U380,50,2035,Medan,employee,727
U381,39,11023,Bandung,employee,738
U382,42,7896,Surabaya,employee,526
U383,30,3961,Surabaya,business,642
U384,37,10514,Surabaya,business,594
U385,26,10575,Surabaya,freelancer,649
U386,58,12972,Bandung,business,523
U387,59,5745,Jakarta,employee,778
U388,58,2780,Surabaya,business,565
U389,59,14642,Medan,business,666
U390,31,10916,Bandung,employee,661
U391,58,10048,Surabaya,employee,739
U392,44,14157,Jakarta,employee,568
U393,40,10733,Medan,freelancer,566
U394,30,12256,Jakarta,employee,739
U395,24,9709,Bandung,freelancer,528
U396,50,11008,Medan,employee,706
U397,48,9318,Surabaya,employee,634
U398,48,13376,Medan,employee,793
U399,30,11619,Jakarta,business,567
U400,37,9674,Jakarta,business,572
U401,33,6846,Surabaya,business,542
U402,40,6421,Surabaya,freelancer,564
U403,48,8877,Medan,business,773
U404,41,12042,Jakarta,employee,769
U405,33,2134,Bandung,business,505
U406,32,4060,Medan,freelancer,737
U407,50,4614,Jakarta,freelancer,718
U408,28,13866,Bandung,freelancer,657
U409,27,3792,Bandung,business,510
U410,51,9481,Medan,freelancer,635
U411,24,8764,Bandung,freelancer,576
U412,51,11215,Surabaya,employee,596
U413,23,14729,Surabaya,employee,776
U414,52,6571,Surabaya,business,773
